"Interval start","Filtered Packets"
0,3.31318
1,3.31147
2,3.42168
3,3.10577
4,3.40718
5,3.15214
6,3.24631
7,3.27651
8,3.61622
9,3.37622
10,3.69955
11,3.46393
12,3.37172
13,3.4811
14,3.40085
15,3.41743
16,3.39222
17,3.26372
18,3.26472
19,4.00934
20,3.68339
21,3.46501
22,3.28522
23,3.15568
24,3.5681
25,3.59597
26,3.5268
27,3.3523
28,3.20247
29,3.71118
30,3.42068
31,3.63776
32,3.38418
33,3.26564
34,3.65834
35,3.6178
36,3.49039
37,3.43785
38,3.20026
39,3.30206
40,4.29076
41,3.57289
42,3.42751
43,3.17318
44,3.70884
45,5.26925
46,3.26868
47,3.29022
48,3.20968
49,3.56705
50,4.16021
51,4.01788
