"Interval start","Filtered Packets"
0,0.00969896
1,0.0427325
2,0.0622653
3,0.144691
4,0.17853
5,0.237322
6,0.234168
7,1.1005
8,0.928906
9,0.381035
10,0.0984688
11,0.0784401
12,0.13808
13,0.179921
14,0.30051
15,0.242559
16,0.292903
17,1.57204
18,0.958301
19,0.239012
20,0.343375
21,0.216738
22,0.102225
23,0.0863118
24,0.232712
25,0.349123
26,1.54091
27,0.951862
28,0.693205
29,0.734051
30,0.0850062
31,0.0504851
32,0.0888515
33,0.15517
34,0.345101
35,0.149856
36,0.360532
37,0.35935
38,1.19796
39,0.970261
40,0.427329
41,0.383869
42,0.265808
43,0.122827
44,0.386231
45,0.44352
46,1.69612
47,1.25351
48,0.541324
49,0.538762
50,0.0800239
51,0.123836
